,year,change_in_seattle_percent
0,2022,-0.6277569932112659
1,2023,-0.1823459407547623
2,2024,-0.266988894994737
3,2025,0.11582860811393214
4,2026,0.14924726048011827
5,2027,0.19547514258212395
6,2028,0.12313955183571945
7,2029,-0.17079678234214946
8,2030,0.10388916588412389
9,2031,-0.04160404706015397
10,2032,-0.08384715231931983
11,2033,0.36671884813774636
12,2034,-0.6250769561005551
13,2035,-0.16911479930013984
14,2036,-0.2564705184970113
15,2037,0.12976503596670064
16,2038,0.13808510123918927
17,2039,0.21353270876297392
18,2040,0.13607164505327551
19,2041,-0.15891766323947065
20,2042,0.12063960021532516
21,2043,-0.01617513286292338
22,2044,-0.08820482540055341
23,2045,0.36466159709651125
24,2046,-0.6267854364445227
25,2047,-0.172779102959983
26,2048,-0.2595863081859586
27,2049,0.12603325396213894
28,2050,0.13912886574325212
29,2051,0.20907139125452234
30,2052,0.13260055708071672
31,2053,-0.16217159266732084
32,2054,0.11647973476653783
33,2055,-0.021963164409016578
34,2056,-0.088344925510083
35,2057,0.3640970192487143
36,2058,-0.6274064618841955
37,2059,-0.17302160179770443
38,2060,-0.2599250312772172
39,2061,0.12581783946519387
40,2062,0.1380159707693558
41,2063,0.20900555492989437
42,2064,0.13235232554581566
43,2065,-0.1624563973615416
44,2066,0.11637046495695724
45,2067,-0.021760584367602753
46,2068,-0.08920745044434453
47,2069,0.3633180630667239
48,2070,-0.628171698159623
